col1	col2	col3	eda	hr	temp
-57.0	-28.0	-15.0	0.117868	59.5	35.21
-57.0	-29.0	-14.0	0.12171199999999999	76.0	35.16
-57.0	-28.0	-16.0	0.120431	73.0	35.18
-57.0	-27.0	-14.0	0.117868	75.4	35.18
-57.0	-27.0	-13.0	0.12171199999999999	81.0	35.16
-55.0	-28.0	-13.0	0.124274	85.71	35.16
-57.0	-28.0	-13.0	0.122993	89.12	35.18
-57.0	-29.0	-15.0	0.124274	91.56	35.18
-56.0	-28.0	-14.0	0.12683599999999998	93.7	35.18
-57.0	-28.0	-13.0	0.125555	93.45	35.16
-57.0	-28.0	-14.0	0.12683599999999998	93.25	35.15
-57.0	-28.0	-13.0	0.12683599999999998	93.15	35.16
-57.0	-28.0	-13.0	0.128118	93.0	35.15
-57.0	-28.0	-13.0	0.128118	92.6	35.16
-57.0	-29.0	-14.0	0.128118	92.25	35.16
-56.0	-30.0	-15.0	0.12939900000000001	92.06	35.15
-55.0	-29.0	-14.0	0.128118	91.78	35.16
-56.0	-29.0	-14.0	0.13068	91.37	35.13
-56.0	-29.0	-14.0	0.133242	90.95	35.15
-56.0	-29.0	-14.0	0.133242	90.29	35.15
-56.0	-29.0	-14.0	0.133242	89.82	35.15
-57.0	-28.0	-13.0	0.135805	89.13	35.13
-57.0	-28.0	-12.0	0.134524	88.54	35.13
-57.0	-29.0	-13.0	0.135805	88.0	35.13
-55.0	-28.0	-12.0	0.134524	87.42	35.13
-55.0	-30.0	-15.0	0.134524	86.89	35.11
-55.0	-29.0	-14.0	0.135805	86.39	35.13
-57.0	-28.0	-13.0	0.135805	85.97	35.13
-56.0	-29.0	-14.0	0.13708599999999999	85.53	35.11
-57.0	-29.0	-14.0	0.13708599999999999	85.06	35.11
-56.0	-29.0	-14.0	0.135805	84.62	35.13
-57.0	-29.0	-15.0	0.13708599999999999	84.21	35.11
-56.0	-29.0	-14.0	0.139648	83.91	35.13
-57.0	-29.0	-14.0	0.13836700000000002	83.63	35.09
-56.0	-29.0	-14.0	0.139648	83.33	35.11
-56.0	-29.0	-14.0	0.140929	83.0	35.11
-58.0	-29.0	-15.0	0.139648	82.71	35.11
-57.0	-29.0	-13.0	0.140929	82.46	35.09
-57.0	-29.0	-13.0	0.143492	81.93	35.11
-55.0	-30.0	-20.0	0.135805	81.66	35.13
-52.0	-32.0	-22.0	0.134524	81.43	35.11
-52.0	-32.0	-21.0	0.13708599999999999	81.16	35.13
-53.0	-31.0	-22.0	0.13836700000000002	80.91	35.11
-52.0	-31.0	-20.0	0.140929	80.69	35.09
-54.0	-30.0	-19.0	0.13836700000000002	80.48	35.11
-55.0	-29.0	-18.0	0.13836700000000002	80.23	35.09
-54.0	-30.0	-19.0	0.140929	80.02	35.11
-53.0	-30.0	-19.0	0.140929	79.78	35.11
-55.0	-30.0	-20.0	0.14221099999999998	79.52	35.11
-53.0	-30.0	-20.0	0.144773	79.27	35.09
-54.0	-30.0	-17.0	0.146054	79.12	35.13
-55.0	-31.0	-18.0	0.143492	79.0	35.11
-55.0	-31.0	-18.0	0.146054	78.87	35.11
-54.0	-30.0	-18.0	0.146054	78.8	35.09
-56.0	-30.0	-17.0	0.14221099999999998	78.73	35.09
-55.0	-30.0	-17.0	0.146054	78.67	35.11
-55.0	-30.0	-17.0	0.147335	78.6	35.11
-55.0	-30.0	-17.0	0.148616	78.54	35.09
-55.0	-30.0	-17.0	0.148616	78.47	35.11
-55.0	-30.0	-17.0	0.148616	78.78	35.07
-55.0	-30.0	-17.0	0.149898	78.95	35.09
-55.0	-30.0	-17.0	0.149898	78.35	35.11
